,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,day_wk,new_days,new_days_1
116,2/16/2016 17:40,2/16/2016 17:44,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,2016-02-16 17:40:00,1,Tuesday
117,2/17/2016 13:18,2/17/2016 14:04,Business,Unknown Location,Colombo,14.7,Temporary Site,2016-02-17 13:18:00,2,Wednesday
118,2/17/2016 15:17,2/17/2016 15:22,Business,Colombo,Colombo,1.7,Meal/Entertain,2016-02-17 15:17:00,2,Wednesday
119,2/17/2016 15:33,2/17/2016 16:17,Business,Colombo,Katunayaka,21.4,Temporary Site,2016-02-17 15:33:00,2,Wednesday
120,2/17/2016 16:38,2/17/2016 16:43,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,2016-02-17 16:38:00,2,Wednesday
121,2/18/2016 8:19,2/18/2016 8:27,Business,Unknown Location,Unknown Location,23.5,Temporary Site,2016-02-18 08:19:00,3,Thursday
122,2/18/2016 14:03,2/18/2016 14:45,Business,Unknown Location,Islamabad,12.7,Temporary Site,2016-02-18 14:03:00,3,Thursday
123,2/18/2016 15:16,2/18/2016 15:31,Business,Islamabad,Unknown Location,6.0,Temporary Site,2016-02-18 15:16:00,3,Thursday
124,2/18/2016 18:44,2/18/2016 18:58,Business,Unknown Location,Islamabad,5.2,Customer Visit,2016-02-18 18:44:00,3,Thursday
125,2/18/2016 19:27,2/18/2016 20:08,Business,Islamabad,Unknown Location,10.0,Meeting,2016-02-18 19:27:00,3,Thursday
126,2/19/2016 9:02,2/19/2016 9:14,Business,Unknown Location,Unknown Location,18.3,Meeting,2016-02-19 09:02:00,4,Friday
127,2/19/2016 9:21,2/19/2016 9:51,Business,Unknown Location,Unknown Location,11.2,Meeting,2016-02-19 09:21:00,4,Friday
128,2/19/2016 10:21,2/19/2016 10:48,Business,Unknown Location,Islamabad,7.6,Meeting,2016-02-19 10:21:00,4,Friday
129,2/19/2016 11:20,2/19/2016 11:26,Personal,Islamabad,Islamabad,1.5,Miscellaneous,2016-02-19 11:20:00,4,Friday
130,2/19/2016 11:45,2/19/2016 11:50,Personal,Islamabad,Islamabad,1.0,Miscellaneous,2016-02-19 11:45:00,4,Friday
131,2/19/2016 12:09,2/19/2016 12:27,Business,Islamabad,Unknown Location,7.3,Temporary Site,2016-02-19 12:09:00,4,Friday
132,2/19/2016 16:26,2/19/2016 16:45,Business,Unknown Location,Islamabad,3.5,Miscellaneous,2016-02-19 16:26:00,4,Friday
133,2/19/2016 17:09,2/19/2016 17:20,Business,Islamabad,Islamabad,4.2,Miscellaneous,2016-02-19 17:09:00,4,Friday
134,2/19/2016 20:08,2/19/2016 20:30,Personal,Islamabad,Unknown Location,13.6,Miscellaneous,2016-02-19 20:08:00,4,Friday
135,2/19/2016 20:34,2/19/2016 20:51,Personal,Unknown Location,Unknown Location,2.5,Miscellaneous,2016-02-19 20:34:00,4,Friday
136,2/20/2016 7:59,2/20/2016 8:32,Personal,Unknown Location,Islamabad,14.4,Miscellaneous,2016-02-20 07:59:00,5,Saturday
137,2/20/2016 10:48,2/20/2016 10:56,Personal,Islamabad,Islamabad,3.0,Miscellaneous,2016-02-20 10:48:00,5,Saturday
138,2/20/2016 11:45,2/20/2016 11:53,Personal,Islamabad,Islamabad,1.5,Miscellaneous,2016-02-20 11:45:00,5,Saturday
139,2/20/2016 12:41,2/20/2016 13:17,Business,Islamabad,Rawalpindi,18.4,Miscellaneous,2016-02-20 12:41:00,5,Saturday
140,2/20/2016 14:50,2/20/2016 15:54,Business,Rawalpindi,Rawalpindi,23.1,Meeting,2016-02-20 14:50:00,5,Saturday
141,2/20/2016 16:59,2/20/2016 17:54,Personal,Rawalpindi,Unknown Location,16.5,Miscellaneous,2016-02-20 16:59:00,5,Saturday
142,2/20/2016 18:00,2/20/2016 18:03,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,2016-02-20 18:00:00,5,Saturday
143,2/20/2016 19:28,2/20/2016 19:49,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,2016-02-20 19:28:00,5,Saturday
